predicted_p_adsorption_capacity_mg_g,energy_proxy,composite_objective,nearest_training_distance,support_distance_limit,combination_code,Modified or unmodified,Cross-linked or uncross-linked,modified_material_type,cross_linking_agent_type,Adsorbent dosage (g/L),Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),scenario,initial_p_constraint_mg_l,run
121.44670976562298,0.03760850838007977,-0.584238443824851,0.08309007104037988,0.1785714285714285,1,1.0,1.0,2,1,0.35065012880000473,44.951708324133335,47.48,190.00566683939394,5.1980730498285475,0.8113108589276834,110.88666116725724,Fixed 47.48 mg/L,47.48,4
117.02807997225361,0.039539298868336306,-0.5596828208052612,0.07848242457487986,0.1785714285714285,1,1.0,1.0,2,1,0.36515264969918315,44.97786312184453,47.48,199.49888041681197,5.010053344223206,0.49643448411423174,110.75104067522653,Fixed 47.48 mg/L,47.48,5
107.48119759991066,0.0005596570348511516,-0.5497792963697092,0.125856276246748,0.1785714285714285,1,1.0,1.0,2,1,0.04,24.94971057195052,47.48,1121.7751185694342,4.971759823681522,0.13924241751447763,110.1358059600483,Fixed 47.48 mg/L,47.48,6
121.44670976562298,0.03771006912490304,-0.5841368830800278,0.08437306851524734,0.1785714285714285,1,1.0,1.0,2,1,0.34382773432015545,44.97241640137678,47.48,190.3212356181496,5.154777401496624,0.8702952179801746,108.73437077816995,Fixed 47.48 mg/L,47.48,7
121.44670976562298,0.03762040008722549,-0.5842265521177054,0.08005240361621958,0.1785714285714285,1,1.0,1.0,2,1,0.3591840305602464,44.95747678639054,47.48,190.01080995260256,5.115134543767966,0.6904821069068292,110.54144058709791,Fixed 47.48 mg/L,47.48,8
121.44670976562298,0.03833216736639234,-0.5835147848385385,0.0752056804785885,0.1785714285714285,1,1.0,1.0,2,1,0.3660863133611617,44.98032001999442,47.48,193.38441359626563,5.133199081709254,0.5086071521909453,109.39310573167454,Fixed 47.48 mg/L,47.48,9
118.96906152783346,0.03975139770404743,-0.5694091835956631,0.10962630703674225,0.1785714285714285,1,1.0,1.0,2,1,0.39952511119334655,45.05967890349426,47.48,199.75099840057754,5.136859505724583,0.8692671263365106,119.00857140165742,Fixed 47.48 mg/L,47.48,10
122.83668329215202,0.03905112107361113,-0.5899129510828253,0.07529825788197285,0.1785714285714285,1,1.0,1.0,2,1,0.2909614271964216,45.29797354588184,50.0,193.9283739493606,5.2999305406369475,0.5788138813150654,110.67105686418711,Fixed 50 mg/L,50.0,1
126.71335204895794,0.037684685233644905,-0.6111292013457609,0.08374047319853992,0.1785714285714285,1,1.0,1.0,2,1,0.6808049085676802,44.967022095880424,50.0,190.2445068328508,5.288254808888071,0.8566190561505755,110.96529968019033,Fixed 50 mg/L,50.0,2
126.71335204895794,0.03772293042579556,-0.6110909561536102,0.08952583224729631,0.1785714285714285,1,1.0,1.0,2,1,0.707660804278384,44.966501879874805,50.0,190.442542704633,5.275406608329186,0.9795640374406451,110.3973613743085,Fixed 50 mg/L,50.0,3
126.71335204895794,0.03775866468234496,-0.6110552218970607,0.0827735854635398,0.1785714285714285,1,1.0,1.0,2,1,0.670772692558,44.95270440748688,50.0,190.75476297600113,5.295020929737091,0.8285116337405971,111.24399848341028,Fixed 50 mg/L,50.0,4
